agent_number,season,trend_likelihood,period_start,period_end,p_value,slope,conf_low,conf_high,conf_level,intercept,r_squared,sigma,trend_method,n,note,s,var_s,tau,z,alternative,lat,lon,site
4326,Autumn,NA,1960-03-01,2019-05-31,0.9682912000082653,-0.019772158933036854,-0.9904457799495657,0.950901462083492,0.95,176.9530508474576,2.7480079483893057e-5,66.43563063881273,Linear model,60,NA,NA,NA,NA,NA,NA,-41.52133,173.86439,Blenheim
4843,Autumn,NA,1960-03-01,2019-05-31,0.9336537662116492,-0.03624340094470651,-0.8858433630259093,0.8133565611364963,0.95,165.5420903954802,1.20516015372336e-4,58.149009151465286,Linear model,60,NA,NA,NA,NA,NA,NA,-43.493,172.537,Christchurch
4970,Autumn,NA,1960-03-01,2019-05-31,0.2697725264407068,0.5469297026951937,-0.4151278194666921,1.5089872248570795,0.95,137.44197740112986,0.020957084184077258,65.84592061820342,Linear model,60,NA,NA,NA,NA,NA,NA,-44.002,170.441,Lake Tekapo
5086,Autumn,NA,1960-03-01,2019-05-31,0.7334525779007812,-0.14506251736593404,-0.9759632645422958,0.6858382298104277,0.95,142.9510734463276,0.002014672532048591,56.86918233042442,Linear model,60,NA,NA,NA,NA,NA,NA,-44.30517,171.22141,Timaru
5212,Autumn,NA,1960-03-01,2019-05-31,0.33701491422860375,-0.33339816615726525,-1.0083795065109002,0.34158317419636974,0.95,144.22531073446322,0.01590191596203669,46.197619925906324,Linear model,60,NA,NA,NA,NA,NA,NA,-44.52612,169.88948,Tara Hills
5451,Autumn,NA,1960-03-01,2019-05-31,0.8803479328279351,0.06412892470130632,-0.7671938862616263,0.8954517356642391,0.95,180.02740112994346,3.9397219817644474e-4,56.89806956216076,Linear model,60,NA,NA,NA,NA,NA,NA,-45.01758,168.74005,Queenstown
5778,Autumn,NA,1960-03-01,2019-05-31,0.7550886532473474,-0.1301694915254224,-0.9441903153603703,0.6838513323095254,0.95,246.75016949152527,0.00169075495332275,55.71387293698769,Linear model,60,NA,NA,NA,NA,NA,NA,-46.115,168.887,Gore
5814,Autumn,NA,1960-03-01,2019-05-31,0.5704329736882459,-0.2764128924701289,-1.2257647387501465,0.6729389538098887,0.95,308.3622598870055,0.00558340005334342,64.97630845235484,Linear model,60,NA,NA,NA,NA,NA,NA,-46.41741,168.33052,Invercargill
1056,Winter,NA,1960-06-01,2019-08-31,0.6707894889619294,-0.476721311475408,-2.663702131599954,1.7102595086491377,0.95,569.1999999999998,0.0031372040155170596,149.6831136997468,Linear model,60,NA,NA,NA,NA,NA,NA,-35.183,173.926,Kerikeri
1287,Winter,NA,1960-06-01,2019-08-31,0.16774222997046742,-1.516982495137536,-3.6453121707448646,0.6113471804697928,0.95,508.5146327683613,0.03255210735772685,145.66886453367914,Linear model,60,NA,NA,NA,NA,NA,NA,-35.769,174.364,Whangarei
1400,Winter,NA,1960-06-01,2019-08-31,0.010225770659620305,-1.7305418171714322,-3.008138567118826,-0.4529450672240385,0.95,399.3548587570618,0.10835228825002123,87.44231217076343,Linear model,60,NA,NA,NA,NA,NA,NA,-36.606,174.835,Whangaparaoa
15752,Winter,NA,1960-06-01,2019-08-31,0.5383782870220077,-0.28983050847457614,-1.2076186624119534,0.627957645462801,0.95,174.9831638418079,0.006561640245493067,62.8160006406758,Linear model,60,NA,NA,NA,NA,NA,NA,-45.90129,170.5147,Dunedin
1615,Winter,NA,1960-06-01,2019-08-31,0.2471621562131984,-0.8434398444012218,-2.257493063579608,0.5706133747771643,0.95,398.3682485875705,0.023021308110355163,96.78177642715569,Linear model,60,NA,NA,NA,NA,NA,NA,-37.673,176.196,Tauranga
1770,Winter,NA,1960-06-01,2019-08-31,0.2632661620874481,-0.8478327313142516,-2.3188138484616996,0.6231483858331964,0.95,427.0638983050846,0.02152892488804004,100.67808175639283,Linear model,60,NA,NA,NA,NA,NA,NA,-38.10595,176.31485,Rotorua
1858,Winter,NA,1960-06-01,2019-08-31,0.6625326238314263,0.22195887746596454,-0.769753451942852,1.213671206874781,0.95,263.30192090395457,0.003306764856016349,67.87557896913201,Linear model,60,NA,NA,NA,NA,NA,NA,-38.74263,176.08104,Taupo
1962,Winter,NA,1960-06-01,2019-08-31,0.7199465724411596,-0.242747985551541,-1.563324933668045,1.0778289625649629,0.95,371.6288135593218,0.0022329612502328755,90.38399772656916,Linear model,60,NA,NA,NA,NA,NA,NA,-37.00813,174.78873,Auckland
2112,Winter,NA,1960-06-01,2019-08-31,0.9386297480338253,0.05271464295637688,-1.2834179982790663,1.3888472841918202,0.95,375.8822033898305,1.0308294295741347e-4,91.44867308191498,Linear model,60,NA,NA,NA,NA,NA,NA,-37.86088,175.33175,Hamilton
2250,Winter,NA,1960-06-01,2019-08-31,0.1393771305464578,1.0062656293414844,-0.30971199824930484,2.322243256932274,0.95,349.1638983050846,0.037281697847572175,90.06920730369161,Linear model,60,NA,NA,NA,NA,NA,NA,-38.88784,175.25981,Taumarunui
2283,Winter,NA,1960-06-01,2019-08-31,0.10126447995348163,-1.2722506251736576,-2.7697001499865097,0.22519889963919426,0.95,475.59864406779644,0.04562753937163412,102.48965396478846,Linear model,60,NA,NA,NA,NA,NA,NA,-39.0079,174.18382,New Plymouth
2534,Winter,NA,1960-06-01,2019-08-31,0.09425008311320839,-0.8718838566268418,-1.8763519690716826,0.13258425581799893,0.95,311.69412429378536,0.047529650195069495,68.74862060943397,Linear model,60,NA,NA,NA,NA,NA,NA,-40.21,176.109,Dannevirke
25354,Winter,NA,1960-06-01,2019-08-31,0.09303859334526472,-1.2476104473464824,-2.6795132340448857,0.1842923393519209,0.95,462.8804519774008,0.047873352929815254,98.0034509932993,Linear model,60,NA,NA,NA,NA,NA,NA,-41.285,174.768,Wellington
2810,Winter,NA,1960-06-01,2019-08-31,0.6048302960886391,-0.4028896915809932,-1.920550704693039,1.1147713215310526,0.95,344.9614689265535,0.0046458861168654515,103.87298502708697,Linear model,60,NA,NA,NA,NA,NA,NA,-38.6586,177.9851,Gisborne
2997,Winter,NA,1960-06-01,2019-08-31,0.9123629406052597,-0.07235621005834976,-1.355293445238854,1.2105810251221547,0.95,237.2785310734463,2.106286798442603e-4,87.80782998921143,Linear model,60,NA,NA,NA,NA,NA,NA,-39.49846,176.91189,Napier
3629,Winter,NA,1960-06-01,2019-08-31,0.12625115205291573,0.9480828007779951,-0.2496965094592436,2.1458621110152336,0.95,282.35847457627096,0.03984276495024294,81.97938227516543,Linear model,60,NA,NA,NA,NA,NA,NA,-39.46249,175.66283,Waiouru
