X,Y,OBJECTID,Siteno,Name,NZTM_E,NZTM_N,Region,Operator,Funder,Area_km2,No_years,L1_mean,L2,Lcv,T3_Lskew,T4_Lkurt,Gumb_u,Gumb_alpha,GEV_u,GEV_alpha,GEV_k,GEV_z,Data_2_33y,Data_5y,Data_10y,Data_20y,Data_50y,Data_100y,Data_250y,Data_500y,Data_1000y,se_2_33y,se_5y,se_10y,se_20y,se_50y,se_100y,se_250y,se_500y,se_1000y
1843238,5890270,64,12301,Tairua at Broken Hills,1843238,5890270,WRC,WRC,WRC,118,37,378.5505,117.0428,0.30919,0.2166,0.14383,281.0835,168.857,275.7384,157.3812,-0.071344,-0.57821,378.782187,534.3588663,661.0737758,782.6217592,939.953156,1057.850898,1213.082548,1330.294582,1447.421869,7%,7%,8%,9%,10%,10%,10%,11%,11%
1851952,5885285,65,12509,Wharekawa at Adams Farm Br,1851952,5885285,WRC,WRC,WRC,46.5,23,129.4253,40.4742,0.31272,-0.022599,0.027067,95.7206,58.3919,105.5769,72.9569,0.32479,2.0754,129.505471,183.3049457,227.1238239,269.155944,323.5622119,364.3320536,418.0122149,458.544934,499.0483474,13%,13%,14%,15%,16%,17%,18%,18%,19%
1855189,5844993,66,13312,Tuapiro at Farm Bridge,1855189,5844993,BoPRC,BOPRC,BoPRC,38,30,86.4525,22.264,0.25753,0.071425,-0.0060118,67.9122,32.1202,70.4109,36.4871,0.1595,1.164,86.49657237,116.0905724,140.1944486,163.3154654,193.2432501,215.6699132,245.1982812,267.494508,289.7746143,8%,9%,10%,11%,12%,13%,13%,14%,14%
1863474,5820772,67,13805,Waipapa at Goodall Rd,1863474,5820772,BoPRC,BOPRC,BoPRC,8.54,30,25.8388,4.0056,0.15502,0.035368,0.07922,22.5032,5.7789,23.1435,6.8297,0.22126,1.6147,25.84680401,31.17120319,35.50784775,39.66766132,45.05211331,49.08700237,54.39959339,58.41101502,62.41953633,5%,6%,7%,8%,10%,10%,11%,12%,12%
1866467,5826180,68,13901,Mangawhai at Omokoroa,1866467,5826180,BoPRC,NIWA,MBIE,2.95,40,3.3211,1.4685,0.44219,0.31271,0.17135,2.0982,2.1187,1.9196,1.6724,-0.21069,-1.7755,3.324055061,5.27612285,6.866053256,8.391152674,10.36523743,11.84453617,13.79227477,15.26296971,16.73260132,8%,8%,8%,8%,9%,9%,9%,9%,10%
1868552,5814364,69,14130,Wairoa at Above Ruahihi,1868552,5814364,BoPRC,BOPRC,BoPRC,307.5,20,388.8773,72.2941,0.1859,0.067952,0.19648,328.6747,104.2984,337.1092,118.9504,0.16536,0.98534,389.0205354,485.1160407,563.3844117,638.4613122,735.6406589,808.4629041,904.3452941,976.7439959,1049.090352,7%,8%,10%,11%,13%,14%,15%,15%,16%
1873983,5819088,70,14302,Kopurereroa at SH29 Br,1873983,5819088,BoPRC,BOPRC,BoPRC,59.75,21,15.9036,4.2548,0.26754,0.24131,0.16938,12.3604,6.1384,12.0741,5.4973,-0.1081,-0.66002,15.91200651,21.56763161,26.1740548,30.59264652,36.31206026,40.59795601,46.24103839,50.50200683,54.75989452,8%,9%,10%,11%,12%,12%,13%,13%,14%
1876991,5815290,71,14410,Waimapu at McCarrolls,1876991,5815290,BoPRC,BOPRC,BoPRC,56.6,23,53.3127,15.9862,0.29986,0.24564,0.18091,40.0003,23.0632,38.8666,20.5067,-0.11447,-0.73144,53.34439801,74.5937159,91.90097174,108.5025071,129.9914917,146.0944616,167.296654,183.3059671,199.3037051,9%,9%,10%,11%,11%,12%,13%,13%,13%
1890200,5775345,72,14606,Waingaehe at SH30 Br,1890200,5775345,BoPRC,BOPRC,BoPRC,9.58,18,3.1172,1.5094,0.48421,0.44434,0.28243,1.8603,2.1776,1.5708,1.2997,-0.38719,-2.1887,3.120233913,5.126569315,6.760699892,8.328197174,10.35716162,11.87758496,13.87947082,15.39105118,16.90153864,11%,9%,10%,10%,10%,11%,11%,11%,11%
1884055,5774870,73,14610,Utuhina at SH5 Br,1884055,5774870,BoPRC,BOPRC,BoPRC,59.6,29,19.4924,4.1704,0.21395,0.2941,0.21306,16.0196,6.0165,15.5667,4.916,-0.18446,-1.3235,19.50067659,25.04398893,29.55893502,33.88977972,39.49561394,43.69639782,49.22741651,53.4037681,57.57710013,5%,6%,6%,7%,8%,9%,9%,9%,10%
1885962,5771772,74,14625,Puarenga at F.R.I Bridge,1885962,5771772,BoPRC,BOPRC,BoPRC,74.8,24,22.259,5.6046,0.25179,0.27588,0.18147,17.5918,8.0857,17.059,6.826,-0.15843,-1.0341,22.27009153,29.71986475,35.7875951,41.60790773,49.14170541,54.7872266,62.22047813,67.83316426,73.44179232,7%,7%,8%,9%,10%,10%,11%,11%,12%
1893124,5809222,75,14627,Waiari at Muttons,1893124,5809222,BoPRC,BOPRC,BoPRC,71.7,27,36.508,9.8494,0.26979,0.28406,0.19826,28.3059,14.2097,27.3087,11.8229,-0.17016,-1.1781,36.52746637,49.61959723,60.28294461,70.51148343,83.75127775,93.67264047,106.7357363,116.5993951,126.4559224,7%,7%,8%,9%,9%,10%,10%,11%,11%
1894478,5801681,76,14628,Mangorewa at Saunders Farm,1894478,5801681,BoPRC,BOPRC,BoPRC,178.7,46,158.4612,59.7163,0.37685,0.41694,0.2998,108.7327,86.1524,97.972,54.8039,-0.3517,-3.1782,158.5794719,237.9561297,302.6072461,364.6221492,444.89408,505.0465962,584.2472169,644.0498785,703.8093017,5%,5%,6%,6%,6%,6%,7%,7%,7%
